DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,1.3420587,0.37737265,-2.6822553,0.9336273,-0.69921523,-0.34359938,-2.2808852,1.1998855,-1.4246924,-0.46607268,0.47101927,0.4071841,-0.5875993,-0.30553138,0.59890544,0.46891806,0.7238782,1.7402731,0.917777,0.94700825,-2.3417015,-1.4821068,-3.075815,-0.3185131,-0.8179007,-0.58370537,1.3176177,-0.80728596,-0.56245786,-0.54777354,-0.62661767,-1.9798156,-2.3975167,0.7537615,-0.25884232,-0.80215913,1.0035818,-0.9911143,-0.8465351,0.39021072,0.71177554,0.3525594,0.18623197,-0.29373154,-1.2667682,0.390315,1.1232524,0.4965418,1.0914098,-0.2652551,-2.3654392,-0.5252438,-1.0303882,-0.30562142,1.3964144,0.9365278,-0.33677658,0.8892363,-0.5648678,0.953024,-0.5824242,-0.29171544,0.85009927,0.36770505,-0.25334367,-0.3719757,-0.78954023,-0.43601096,-1.9912658,1.9113075,-1.7976915,-0.4236259,1.4352142,1.4066436,2.6598675,1.4651146,1.5765569,-0.86719346,-3.0189548,3.5916655,2.7360864,-1.6817466,2.1480377,-2.469791,-1.4752818,-2.8624227,-2.9593782,-3.7605336,0.44358474,3.063733,1.3649652,0.51664966,0.06059667,1.012995
19870227,1.3237704,0.5892591,-2.8212044,0.87884223,-0.8239699,-0.43135485,-2.0337768,1.1965989,-1.253636,-0.3325645,0.32868892,0.35628003,-0.5249886,-0.34640858,0.6726052,0.4608604,0.8075071,1.6593577,0.8909483,0.90585184,-2.4474454,-1.3829522,-2.879917,-0.24837226,-0.8226373,-0.5859001,1.2694204,-0.66516495,-0.5461956,-0.69513345,-0.5955891,-1.9851379,-2.3029232,0.76055694,-0.059982207,-0.59786093,0.97133726,-0.8506952,-0.60245734,0.4042684,0.5359162,0.03644407,0.25811586,-0.26285142,-1.1576784,0.6408932,1.0795633,0.49037766,1.0583149,-0.40918803,-2.2112217,-0.49796656,-0.8734045,-0.3988245,1.3547295,0.933389,-0.2638302,0.8559831,-0.5875007,0.9647137,-0.547147,-0.1978682,0.8541746,0.5563932,0.7284345,0.023792524,-0.6353516,-0.18559353,-1.4770024,1.7475129,-1.3883648,0.018919118,1.5785289,0.6250652,2.417004,1.374398,1.5156159,-0.5984123,-2.8946276,3.4255354,2.5372477,-1.8570755,2.227058,-2.6819656,-0.13166967,-2.8604496,-2.796834,-3.5113277,0.7345666,2.763034,1.7377087,0.5963403,0.38979173,1.1810257
19870331,1.2237632,0.45893678,-2.624026,0.8915482,-0.8129826,-0.44798663,-1.9487629,1.1651701,-1.1682729,-0.334996,0.49545848,0.4070586,-0.5607374,-0.3461015,0.5106191,0.47059354,0.71167624,1.6215682,0.84320194,0.8685226,-2.2117157,-1.2800738,-2.6971138,-0.33322793,-0.80642784,-0.6514547,1.3407038,-0.73716813,-0.53510165,-0.88555634,-0.6378589,-1.8863217,-2.1823764,0.6156984,-0.2855045,-0.44032425,0.9843512,-0.7644942,-0.46990487,0.377577,0.6765908,-0.051296283,0.2788114,-0.32902792,-1.0303355,0.66661656,1.1060952,0.50636977,1.0922661,-0.4285075,-2.2004607,-0.62125105,-0.9454423,-0.4001677,1.2898263,0.8611382,-0.32838628,0.8245582,-0.6861489,0.91673595,-0.4800205,-0.17982344,0.8402657,-0.02355553,0.054425765,-0.27149874,-0.57721984,-0.2992559,-1.7335342,1.7888284,-1.5447595,-0.20255977,1.5001669,0.7207588,2.3835156,1.4904327,1.5775313,-0.07244042,-2.502054,3.3580196,2.3223448,-1.4280555,2.133219,-2.4516182,0.080864005,-2.8089516,-2.038238,-3.1418877,0.23956083,2.67802,1.6226645,0.66612667,0.5204459,0.92185557
19870430,1.3060386,0.4265501,-2.724494,0.8722349,-0.83519775,-0.5936371,-2.268811,1.1520667,-1.3157573,-0.3668268,0.50235856,0.35008505,-0.6605758,-0.36802244,0.59039456,0.5136208,0.6450089,1.60263,0.7771261,0.79625183,-2.266371,-1.3407913,-2.879854,-0.4394342,-0.77342486,-0.5651352,1.280376,-0.82774955,-0.46778688,-0.73077834,-0.45278117,-1.9722168,-2.3868036,0.64557314,0.1427109,-0.7950815,0.926606,-0.7146969,-0.8337662,0.34980282,0.67623335,0.20379415,0.2761164,-0.40328535,-1.1755757,0.31687886,1.1060219,0.51756144,1.0958754,-0.40297362,-2.1416194,-0.478674,-0.9808385,-0.29389057,1.3174784,0.7037916,-0.24662372,0.72094125,-0.5810962,0.8879071,-0.6649643,-0.13477734,0.86446965,0.19585396,0.4139022,-0.2768505,-0.75896806,-0.105811164,-1.56617,1.8406228,-1.4161739,-0.25345892,0.785655,0.7445596,2.494198,1.5873189,1.6724,0.11396526,-2.6515443,3.4087708,2.5713687,-0.45927513,2.2277021,-2.2715688,0.056103904,-2.8804214,-1.8285623,-3.330195,0.48332703,2.8585038,1.6392504,0.64167154,0.5004484,1.0550163
19870529,1.1981454,0.30224517,-2.3858297,0.8169543,-0.80175334,-0.55178434,-1.9309461,1.1404226,-1.256049,-0.4534435,0.5325268,0.34096035,-0.5659572,-0.217954,0.6419478,0.4754585,0.6567108,1.4822674,0.77299917,0.7935072,-1.9482626,-1.1461666,-2.5381045,-0.37980548,-0.67341256,-0.53398865,1.2193228,-0.6709354,-0.41863233,-0.72822803,-0.5661651,-1.6867533,-2.0385053,0.64957464,-0.21982394,-0.6170771,0.87296677,-0.77439743,-0.5966177,0.32182133,0.6122461,-0.19554931,0.21907367,-0.4189444,-1.0844959,0.43045908,1.0288836,0.50493103,1.0382909,-0.35047987,-1.9414202,-0.49174964,-0.8665444,-0.3976513,1.2133029,0.5200765,-0.31990576,0.7065349,-0.59653354,0.84878904,-0.5694034,0.16840957,0.83576465,-0.17505968,0.27366987,-0.4323312,-0.681318,-0.0950119,-1.3405671,1.7453791,-1.2633066,-0.1465365,0.7065494,0.75029856,2.0343764,1.6091123,1.6936004,0.5937157,-2.2405124,3.2281668,2.3143945,-0.34900808,2.1345823,-1.7903349,-0.5398607,-2.3219135,-1.2237662,-2.9089046,0.62342244,2.7052844,1.5796583,0.72903454,0.7873759,0.9161743
19870630,1.2094868,0.30837172,-2.302712,0.7943701,-0.77089894,-0.54129034,-1.7605913,1.098475,-1.214824,-0.5439663,0.35265207,0.3337461,-0.48213735,-0.2811079,0.7281486,0.40987965,0.6441461,1.5354222,0.83190966,0.8231094,-2.0116477,-1.0099317,-2.4726322,-0.31665406,-0.7258668,-0.47530246,1.2206494,-0.5141695,-0.45458397,-0.5971208,-0.53562194,-1.6611457,-1.9979423,0.6977261,0.0066572167,-0.5460322,0.88240063,-0.733772,-0.5529949,0.26830468,0.67967266,-0.2410319,0.25433344,-0.4201188,-0.9887299,0.17976326,0.9981552,0.45543355,0.9834991,-0.23619115,-1.8126928,-0.26853484,-0.79648423,-0.254572,1.2389793,0.5538444,-0.37039268,0.77629983,-0.37913156,0.86526555,-0.5890217,0.21735382,0.8129421,-0.11333988,-0.4235192,-0.446182,-0.8118534,-0.21180895,-1.2707043,1.743694,-1.2638209,-0.34818786,0.7232744,0.69259816,2.0300672,1.5620843,1.6598973,0.9125868,-2.2185621,3.136186,2.3343415,-0.5713746,2.0255296,-2.0436022,-0.48271415,-2.1218948,-1.1522928,-2.8026853,0.5438779,2.656836,1.4051353,0.7548521,0.73561525,0.8597384
19870731,1.0587682,-0.15127876,-2.4049208,0.7298224,-0.7138812,-0.33859155,-1.905361,0.9244097,-1.0508122,-0.6666035,0.16215163,-0.28213817,-0.42055506,-0.3104538,-0.30214843,0.4798246,0.6999964,1.4981691,0.79742724,0.8037056,-1.634198,-1.1369405,-2.2193813,-0.42942983,-0.58117837,-0.5703522,1.1368331,-0.4668809,-0.40459037,-0.58141685,-0.45513076,-1.9235411,-2.060848,0.74317724,0.35220185,-0.6045125,0.73332,-0.6947902,-0.6600461,0.02793074,0.43730333,-0.22975682,-0.13863258,-0.5478219,-1.2637445,0.45155302,1.0650573,0.5423766,1.0503278,-0.110532105,-1.8185421,-0.41641748,-1.021147,-0.18815367,1.1282585,0.63659406,-0.269242,0.7210715,-0.38559934,0.92716324,-0.67427117,-0.14608087,0.93013203,0.0832681,-0.45773935,-0.38765392,-0.69651836,-0.15376268,-1.0489242,1.8080374,-1.0030392,0.017199742,1.4473423,0.66057026,2.0410857,1.5194328,1.6191931,0.94020945,-2.3463936,3.138556,2.1724834,0.4311789,1.9008789,-1.9430873,-0.8901339,-2.0629811,-0.9062447,-3.1084967,0.62228227,2.6830466,1.4499929,0.7547293,0.6637153,0.93872094
19870831,1.1316618,0.075719886,-2.374114,0.73040897,-0.7114871,-0.29662558,-2.0195656,0.91935885,-1.1926813,-0.6750267,0.16279186,-0.2744748,-0.4410703,-0.14910944,-0.34558147,0.50827825,0.8033692,1.5666089,0.8656644,0.8530697,-1.5902653,-1.3726892,-2.3596509,-0.4483779,-0.77736294,-0.68319,1.0843289,-0.3877123,-0.50571805,-0.67276424,-0.43371502,-1.9319143,-2.150837,0.7511995,0.46986505,-0.56507546,0.76979476,-0.73864955,-0.611289,0.15080991,0.42265978,-0.24057414,-0.12439744,-0.536274,-1.3178917,0.62603587,1.0871255,0.5265193,1.0730262,-0.19380616,-1.9571719,-0.41867724,-0.95353484,-0.2681132,1.1393465,0.47050577,-0.2842354,0.75567245,-0.38969874,0.9610699,-0.9341119,0.37238836,0.9761482,0.43935934,-0.40139183,-0.07022505,-0.6023399,0.15005234,-0.8778019,1.7253693,-0.85076094,0.6356087,1.2932028,1.1955353,2.0876431,1.4984028,1.6049191,0.60382634,-2.5252995,3.2000437,2.4428232,-0.4521117,2.2019072,-2.1265202,-0.6362312,-2.3197186,-1.3073256,-3.1817322,0.6434665,2.7939734,1.4096726,0.7813077,0.68642205,0.90700406
19870930,1.0914358,0.080027424,-2.383654,0.7588952,-0.70649594,-0.27737528,-1.9710526,0.9046744,-1.2400404,-0.6889051,0.083711475,-0.34000283,-0.4630262,-0.12096494,-0.08977012,0.4997545,0.78689885,1.5299871,0.8632115,0.85016596,-1.6805978,-1.2648014,-2.3038113,-0.41281494,-0.8020776,-0.63949287,1.1266125,-0.39769125,-0.41622838,-0.59793293,-0.41570154,-1.8509655,-2.0811067,0.75977576,0.40809688,-0.56251854,0.7463229,-0.863106,-0.6358482,0.0525199,0.2723242,-0.22402912,-0.23063305,-0.47765657,-1.3679307,0.5435396,1.1103243,0.5023558,1.0383443,-0.23683004,-1.893798,-0.3793308,-0.9527843,-0.2751334,1.2264625,0.5746927,-0.2842498,0.7829087,-0.40446326,0.9609858,-0.9163106,0.23704295,1.0340061,-0.14508554,-0.31235114,0.045503546,-0.650882,0.27211112,-1.120685,1.7953231,-1.0840142,0.28611168,1.4231416,1.5061125,2.0817382,1.5165658,1.7156172,-0.024036277,-2.3845425,3.3307009,2.4694552,0.68724805,2.0134578,-1.8910056,-1.0034475,-2.3183298,-1.4527068,-3.083226,0.36105162,2.7473972,1.4729608,0.6236787,0.5710296,0.88824034
19871030,1.0829792,0.13291332,-2.252337,0.6889107,-0.8977999,-0.4339905,-1.8571701,0.98382384,-1.028533,-0.63395286,0.4048471,0.30171537,-0.3920581,0.21773766,0.04432781,0.676646,0.7482208,1.4880893,0.90856576,0.8768167,-1.6405784,-1.0676372,-2.1639137,-0.26501104,-0.75730735,-0.5461626,1.143008,-0.20993449,-0.23921032,-0.66004544,-0.2316984,-1.8526459,-1.9956341,0.74890465,0.38380632,-0.49382898,0.5566635,-0.60979366,-0.5785353,-0.045595694,0.37169003,0.20714918,-0.23619974,-0.52677953,-1.1268775,0.30581346,1.1318293,0.47582802,1.0786898,0.026813058,-1.6970426,-0.40144697,-1.1067911,-0.00090716756,1.149553,0.48221064,0.21621859,0.8438058,-0.46452776,0.94754606,-0.8541296,0.27639785,1.0399624,-0.3244313,0.30496082,-0.1141738,-0.61079615,0.11759398,-1.3406051,1.8671175,-1.2208319,-0.0003724811,1.3772546,1.2010397,2.0633712,1.6656919,1.8319085,-0.5232393,-2.3059464,3.3686295,2.2555904,0.18179306,2.053282,-1.883703,-0.8687655,-2.2192287,-1.847553,-2.9723446,-0.14664473,2.7716646,1.4732385,0.7201561,0.6626994,0.7782085
