DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,0.8565477,0.11035837,-1.7149581,0.500556,-0.33058366,-0.18652797,-1.287847,0.6400444,-0.7822099,-0.27953267,0.064795375,-0.015039101,-0.53965724,-0.3429749,0.20814966,0.41497695,0.36713672,1.0355158,0.37449998,0.41496652,-1.3656585,-0.90009075,-1.6757479,-0.2942214,-0.6211529,-0.51614606,0.75855136,-0.5907788,-0.4723506,-0.4466848,-0.587641,-1.3936393,-1.4154825,0.44414207,-0.28295597,-0.42541733,0.48893896,-0.5067682,-0.44151717,-0.033272564,0.110755086,-0.0068054646,-0.077240616,-0.30051893,-0.63770074,0.1904874,0.72786534,0.22726984,0.68769294,-0.21645647,-1.3778558,-0.35762995,-0.608004,-0.262063,0.7573714,0.47289872,-0.26315308,0.37617558,-0.36289585,0.39933038,-0.32734573,-0.22344744,0.39812618,0.13097236,-0.16814211,-0.23114057,-0.5505657,-0.28247523,-1.0360659,1.1519833,-0.96090275,-0.21414344,0.7861192,0.7642907,1.6748638,1.311497,1.355655,-0.5319536,-2.1783042,2.094064,1.759189,-0.9826562,1.3605096,-1.1210412,-0.9506997,-1.8462273,-1.4148239,-2.5467682,0.041489616,1.7967981,0.985659,0.36690354,-0.13563111,0.57774293
19870227,0.8618479,0.1997303,-1.7140787,0.42774898,-0.35910314,-0.19839458,-1.186844,0.6654928,-0.7135533,-0.24722843,-0.007281527,-0.08203712,-0.55802226,-0.3669805,0.23616368,0.43105352,0.42891026,1.0183601,0.38093528,0.3844009,-1.3538227,-0.88457227,-1.5804021,-0.2949303,-0.6382572,-0.5259858,0.7283652,-0.57024217,-0.46674037,-0.484646,-0.57875013,-1.3849592,-1.3883436,0.45737168,-0.24866648,-0.34213614,0.49148917,-0.44129246,-0.34507948,-0.03462416,-0.004025653,-0.09133086,-0.060329065,-0.30454534,-0.598861,0.25795078,0.7103161,0.16075274,0.6824381,-0.24962161,-1.3085248,-0.35000885,-0.5460613,-0.27046487,0.74856263,0.47264704,-0.24601057,0.3680914,-0.36050516,0.42234123,-0.3128654,-0.21148086,0.4380334,0.17581612,0.3141419,-0.13467324,-0.49799603,-0.19735852,-0.8254715,1.0793626,-0.79879177,-0.038093314,0.85305035,0.3996104,1.5685046,1.2773268,1.3550191,-0.49890485,-2.1759198,2.070827,1.675321,-1.0320994,1.4773921,-1.2312796,-0.36115322,-1.8347005,-1.374189,-2.4681268,0.21693572,1.7251083,1.2179142,0.3823669,-0.056839578,0.6553078
19870331,0.80240405,0.119264364,-1.6325521,0.46975183,-0.32828748,-0.17580137,-1.1714448,0.6560339,-0.6921761,-0.22788168,0.074830115,-0.07245866,-0.5961458,-0.3766846,0.12113847,0.43482494,0.3640691,0.9982374,0.37584943,0.3484375,-1.2392478,-0.86818784,-1.5115892,-0.37875348,-0.65261877,-0.57936794,0.7738597,-0.63981843,-0.49347377,-0.52311677,-0.6222146,-1.3380549,-1.3573707,0.4184913,-0.3024661,-0.30050337,0.49935335,-0.4218948,-0.3078546,-0.036034018,0.071964234,-0.11534314,-0.05765806,-0.319255,-0.5608542,0.259225,0.7350351,0.2356511,0.72099847,-0.26891404,-1.3365651,-0.3975234,-0.55768526,-0.30364096,0.71941435,0.4523842,-0.29824978,0.36406243,-0.39228213,0.4208829,-0.3096585,-0.21570878,0.43339738,-0.10157012,-0.105018504,-0.2064788,-0.49082327,-0.27956185,-0.98228836,1.0906628,-0.90001684,-0.19002083,0.8127997,0.43415147,1.5485016,1.3373176,1.3885996,-0.2566852,-1.9592394,2.0269122,1.540645,-0.8458285,1.4156436,-1.2038267,-0.24429101,-1.8454584,-1.096917,-2.3288572,0.048193216,1.6554464,1.1842428,0.50180465,0.04492654,0.44511157
19870430,0.8234579,0.09963538,-1.6852432,0.4231372,-0.3177557,-0.21284144,-1.2897038,0.63936424,-0.751501,-0.24377689,0.08293304,-0.11472833,-0.65126616,-0.38376176,0.14799069,0.48606056,0.30002755,0.93239206,0.31001663,0.28454202,-1.2586434,-0.8937886,-1.5791334,-0.4252401,-0.6402163,-0.5401709,0.734952,-0.71376526,-0.47016937,-0.47504216,-0.5574411,-1.3725371,-1.4420075,0.41976064,-0.22515726,-0.40141666,0.46001464,-0.4312829,-0.42370355,-0.05564806,0.067707226,-0.08829107,-0.0784747,-0.35742977,-0.6056815,0.13615139,0.70267457,0.29123843,0.67631936,-0.2636597,-1.3050182,-0.34393921,-0.58024395,-0.2747342,0.73203874,0.30022156,-0.28937286,0.2503046,-0.32914782,0.35851467,-0.37425816,-0.19407234,0.39660445,-0.055743635,0.0033646673,-0.23949328,-0.56478417,-0.1777804,-0.9005621,1.1067312,-0.8355174,-0.21568081,0.46635324,0.44518095,1.6065102,1.282425,1.3410407,-0.22533377,-2.0251138,2.0185323,1.6831422,-0.33500326,1.4089158,-1.1167874,-0.2606152,-1.8707961,-1.0590339,-2.4084785,0.090063885,1.7011743,1.2344553,0.4335533,0.022699386,0.5541836
19870529,0.77964306,0.08241278,-1.5190006,0.3381812,-0.34136498,-0.21419257,-1.1243514,0.62325406,-0.70243514,-0.2687713,0.09116681,-0.11887948,-0.59226656,-0.30056,0.18775341,0.4337833,0.29930687,0.88586754,0.3227013,0.2742943,-1.1097265,-0.7839393,-1.4027237,-0.38122115,-0.59431005,-0.5220678,0.6848445,-0.6060435,-0.4414894,-0.4740088,-0.5939152,-1.2364312,-1.2567146,0.42198908,-0.27748466,-0.32966182,0.40347642,-0.44785082,-0.32467994,-0.06906696,0.013771668,-0.14005817,-0.0912663,-0.3442106,-0.54797494,0.16317108,0.65131193,0.26489407,0.66767246,-0.23302615,-1.1856548,-0.33552086,-0.5328915,-0.28567344,0.66432863,0.14955293,-0.2957468,0.24130379,-0.3129081,0.34049854,-0.35843065,-0.103150986,0.40176076,-0.19676322,-0.17415354,-0.29918635,-0.53492975,-0.19727677,-0.80412936,1.0431204,-0.7792307,-0.1617118,0.43689474,0.4469825,1.2471409,1.2989622,1.3445995,0.08536516,-1.7552642,1.8707078,1.4812312,-0.28974885,1.3123878,-0.94362336,-0.4147703,-1.5318162,-0.71112514,-2.1306415,0.10093494,1.5594096,1.1244161,0.47749645,0.26151222,0.36792326
19870630,0.7887489,0.08699432,-1.4996061,0.29711115,-0.3437208,-0.21934702,-1.060508,0.60957766,-0.6883273,-0.2895929,0.013231039,-0.087669164,-0.53424793,-0.31191254,0.25152048,0.3843965,0.28565878,0.90860033,0.34591407,0.30732426,-1.1800274,-0.7282929,-1.3885403,-0.35229334,-0.6020704,-0.48663005,0.642094,-0.50088197,-0.4447215,-0.4417426,-0.5595709,-1.2261658,-1.2517229,0.4397395,-0.22496232,-0.31246373,0.4078782,-0.42836523,-0.31616133,-0.07068822,0.053839654,-0.14889643,-0.0825525,-0.34238005,-0.52384996,0.09036991,0.6316777,0.12323214,0.62649465,-0.19641769,-1.1357284,-0.26133275,-0.5198917,-0.23951039,0.6693317,0.14979303,-0.3012536,0.30829087,-0.24905181,0.3513262,-0.37056583,-0.09322274,0.3687393,-0.1758445,-0.35439035,-0.2965457,-0.5810052,-0.283252,-0.75661576,1.025461,-0.761729,-0.2216415,0.43221462,0.42477193,1.2378848,1.2914002,1.3430941,0.30881375,-1.7383162,1.811403,1.4827496,-0.2624209,1.2716757,-1.000731,-0.40649903,-1.4581988,-0.63609356,-2.093309,0.059971973,1.5441508,1.0183764,0.57568413,0.24231906,0.2992014
19870731,0.7053281,-0.10590209,-1.511947,0.16987514,-0.30867514,-0.1697876,-1.1059399,0.46533337,-0.6352068,-0.39785722,-0.008602977,-0.3811592,-0.45523262,-0.26821053,-0.2510093,0.4571641,0.330348,0.86272305,0.2958153,0.26022282,-0.9630158,-0.7766551,-1.2500985,-0.41364688,-0.573059,-0.51812726,0.59521425,-0.4287319,-0.35958326,-0.44208115,-0.43916684,-1.3447442,-1.2856748,0.48687086,-0.08626361,-0.28377908,0.20371227,-0.4180106,-0.3241849,-0.1012821,-0.05880651,-0.18308607,-0.13473028,-0.40786377,-0.67917955,0.16871783,0.64911777,0.316803,0.6241102,-0.20127597,-1.1291573,-0.31043118,-0.60831714,-0.2050831,0.64307976,0.17909214,-0.19491707,0.20666756,-0.23347217,0.3978132,-0.40087336,-0.20884486,0.4770956,-0.12284321,-0.42745873,-0.25198585,-0.5276059,-0.24527054,-0.65306354,1.0135413,-0.64844567,-0.1198905,0.74750525,0.41265428,1.2314254,1.2126127,1.2816471,0.30826065,-1.8046362,1.7782048,1.3729138,-0.027845412,1.1906769,-0.95649046,-0.6430578,-1.4584128,-0.46296808,-2.2201214,0.085209414,1.5355574,1.0116923,0.52531564,0.1804355,0.34441513
19870831,0.74592006,0.034214154,-1.4966502,0.18709543,-0.31591594,-0.15248452,-1.1470349,0.44500822,-0.6770509,-0.40291125,-0.023786679,-0.36932057,-0.46162003,-0.19645667,-0.25770664,0.48009318,0.40438038,0.8998265,0.3485037,0.32063612,-0.92763865,-0.8507613,-1.292692,-0.40743023,-0.6366809,-0.5673994,0.59347266,-0.36901325,-0.41255683,-0.45387504,-0.4097703,-1.326115,-1.2970734,0.495866,0.0038650483,-0.26561308,0.26335207,-0.424746,-0.29327852,-0.09074535,-0.056998298,-0.17533866,-0.13813171,-0.3933412,-0.6913258,0.23957424,0.6593336,0.3571373,0.65768427,-0.20892957,-1.1595249,-0.30057615,-0.58443666,-0.21159878,0.65909106,0.08433834,-0.18064222,0.2844266,-0.24665329,0.40434432,-0.48715317,0.04755871,0.48940706,0.10892181,-0.26268917,-0.12212108,-0.47597447,-0.12721547,-0.55351067,0.96650726,-0.55319166,0.21353291,0.68437874,0.6255802,1.2880361,1.268011,1.3413956,0.03295949,-1.8551968,1.8134792,1.5504318,-0.26273426,1.3715763,-1.0395865,-0.48913902,-1.5375926,-0.63661313,-2.212991,0.11049391,1.6349475,1.0289414,0.6110009,0.24769454,0.33612236
19870930,0.7132621,-0.013954774,-1.5213581,0.19145964,-0.34028658,-0.1552691,-1.1663141,0.44691846,-0.71966636,-0.4252122,-0.049098283,-0.4250704,-0.4797257,-0.15612654,-0.20151988,0.46015263,0.3955099,0.8756867,0.3370344,0.3135354,-1.0048239,-0.83786494,-1.3190881,-0.39897284,-0.65673405,-0.580103,0.56887305,-0.3846929,-0.39859983,-0.43776068,-0.4120125,-1.3243027,-1.3090087,0.49650475,-0.08417914,-0.2681021,0.22610918,-0.48237494,-0.29877776,-0.104011744,-0.08846164,-0.19156067,-0.16368037,-0.38767135,-0.74739,0.22528897,0.67929167,0.3248091,0.6669026,-0.20548616,-1.170371,-0.3098333,-0.6003725,-0.22548723,0.6775158,0.13460633,-0.21170469,0.29193684,-0.27277744,0.41812408,-0.5091974,-0.09860089,0.5209647,-0.12801422,-0.23034388,-0.101074435,-0.5092914,-0.10449884,-0.6903293,1.0057397,-0.6847358,0.0017330796,0.7344871,0.75964975,1.2448202,1.3199295,1.3978692,-0.14560658,-1.8475728,1.8532333,1.5094914,0.14573604,1.2691776,-0.9087301,-0.75559914,-1.5905023,-0.6661916,-2.2183948,0.0008045286,1.5733907,1.0551956,0.48998058,0.16845931,0.3264475
19871030,0.71324545,0.04857269,-1.4877403,0.080296054,-0.38267958,-0.19061965,-1.1394072,0.5316833,-0.6539568,-0.4107633,0.057808906,-0.18184417,-0.46135825,-0.010906175,-0.14185344,0.5061533,0.35818762,0.8756784,0.3659827,0.32693332,-1.0015968,-0.7644319,-1.2855057,-0.3542307,-0.64158,-0.5344694,0.6190946,-0.27938044,-0.30445188,-0.46321106,-0.31816533,-1.3351119,-1.2934254,0.4967838,-0.09005362,-0.25117737,0.05722779,-0.41495556,-0.29280776,-0.12585254,-0.075637236,-0.046148658,-0.1672484,-0.41655055,-0.6307524,0.15614863,0.69267297,0.29646203,0.67383134,-0.16505903,-1.10726,-0.3207035,-0.6443689,-0.18640193,0.6585678,0.094855785,-0.06404787,0.31652617,-0.29116505,0.4079979,-0.5081221,-0.090582594,0.5198369,-0.22925022,-0.026106924,-0.13948196,-0.50608563,-0.124279015,-0.8096315,1.0700017,-0.75092506,-0.14555496,0.7196139,0.63431877,1.2374828,1.3854492,1.4468248,-0.2927653,-1.8383796,1.8937538,1.452149,0.013989985,1.2938703,-0.93864346,-0.6002899,-1.5364254,-0.9074046,-2.197997,-0.07620619,1.5981854,1.0404272,0.52879703,0.2579777,0.29710546
